epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,43.3571,3.24347,5.1325,4.22515,0,0,0,0,2.77656,4.81429,4.16376,0.000131771,0.000131771,0.000131771
48,44.2468,4.6391,4.68171,4.12877,0,0,0,0,2.77656,4.81429,4.16376,0.000132189,0.000132189,0.000132189
49,45.1639,3.75486,4.75986,4.15091,0,0,0,0,2.77818,4.81362,4.1632,0.000132502,0.000132502,0.000132502
50,46.0149,3.60323,4.57924,4.05864,0,0,0,0,2.77818,4.81362,4.1632,0.00013271,0.00013271,0.00013271
51,47.0167,3.67348,4.58675,4.10744,0,0,0,0,2.78115,4.81599,4.16272,0.000132815,0.000132815,0.000132815
52,47.8669,4.64608,4.51323,3.96305,0,0,0,0,2.78115,4.81599,4.16272,0.000132816,0.000132816,0.000132816
53,48.7368,2.38161,5.31448,4.1956,0,0,0,0,2.78115,4.81599,4.16272,0.000132712,0.000132712,0.000132712
54,49.6542,4.2127,4.57556,4.0492,0,0,0,0,2.78401,4.81245,4.16203,0.000132504,0.000132504,0.000132504
55,50.5261,3.91033,4.49917,4.00476,0,0,0,0,2.78401,4.81245,4.16203,0.000132192,0.000132192,0.000132192
56,51.4039,3.19196,4.81884,4.15503,0,0,0,0,2.78401,4.81245,4.16203,0.000131776,0.000131776,0.000131776
57,52.327,3.2895,4.84391,4.06994,0,0,0,0,2.78508,4.81242,4.16187,0.000131256,0.000131256,0.000131256
58,53.2137,3.34972,5.26198,3.96443,0,0,0,0,2.78508,4.81242,4.16187,0.000130632,0.000130632,0.000130632
59,53.9985,3.04319,4.92084,4.06713,0,0,0,0,2.78508,4.81242,4.16187,0.000129903,0.000129903,0.000129903
60,54.9398,4.03796,4.58688,3.86744,0,0,0,0,2.78879,4.81546,4.16162,0.00012907,0.00012907,0.00012907
61,55.8263,3.98622,4.55964,3.96782,0,0,0,0,2.78879,4.81546,4.16162,0.000128134,0.000128134,0.000128134
62,56.7397,3.51375,4.50728,3.76219,0,0,0,0,2.78879,4.81546,4.16162,0.000127093,0.000127093,0.000127093
63,57.6089,3.06282,5.09411,3.98234,0,0,0,0,2.78977,4.81433,4.1618,0.000125948,0.000125948,0.000125948
64,58.422,4.07431,4.85253,4.10686,0,0,0,0,2.78977,4.81433,4.1618,0.000124698,0.000124698,0.000124698
65,59.42,3.8764,4.67882,4.05774,0,0,0,0,2.78977,4.81433,4.1618,0.000123345,0.000123345,0.000123345
66,60.2971,4.73365,4.55214,3.9995,0,0,0,0,2.79359,4.81473,4.1624,0.000121887,0.000121887,0.000121887
67,61.3928,3.71439,4.67215,4.05141,0,0,0,0,2.79359,4.81473,4.1624,0.000120326,0.000120326,0.000120326
68,62.4,3.92662,4.47474,3.89425,0,0,0,0,2.79359,4.81473,4.1624,0.00011866,0.00011866,0.00011866
69,63.841,3.236,4.99126,4.12017,0,0,0,0,2.79589,4.81254,4.16297,0.00011689,0.00011689,0.00011689
70,64.9486,2.86532,5.10977,4.1855,0,0,0,0,2.79589,4.81254,4.16297,0.000115016,0.000115016,0.000115016
71,66.1428,4.1435,4.71988,3.88862,0,0,0,0,2.79589,4.81254,4.16297,0.000113037,0.000113037,0.000113037
72,67.3957,3.82509,4.57725,3.85972,0,0,0,0,2.79813,4.81314,4.16387,0.000110955,0.000110955,0.000110955
73,68.4158,3.4991,4.4049,3.89221,0,0,0,0,2.79813,4.81314,4.16387,0.000108768,0.000108768,0.000108768
74,69.4046,4.45872,4.19066,3.80276,0,0,0,0,2.79813,4.81314,4.16387,0.000106478,0.000106478,0.000106478
75,70.6152,4.119,4.5789,3.96603,0,0,0,0,2.80148,4.81031,4.16487,0.000104083,0.000104083,0.000104083
76,71.7638,3.66671,4.50605,3.96558,0,0,0,0,2.80148,4.81031,4.16487,0.000101584,0.000101584,0.000101584
77,73.1777,3.46494,4.59671,4.00068,0,0,0,0,2.80148,4.81031,4.16487,9.89806e-05,9.89806e-05,9.89806e-05
78,74.5048,3.91372,4.47891,3.96511,0,0,0,0,2.80454,4.81254,4.16623,9.62733e-05,9.62733e-05,9.62733e-05
79,75.8651,2.66918,5.10374,4.17499,0,0,0,0,2.80454,4.81254,4.16623,9.34618e-05,9.34618e-05,9.34618e-05
80,76.9708,3.91688,4.69352,4.01917,0,0,0,0,2.80454,4.81254,4.16623,9.05462e-05,9.05462e-05,9.05462e-05
81,78.1727,3.98388,4.39096,3.84386,0,0,0,0,2.80639,4.81062,4.16703,8.75264e-05,8.75264e-05,8.75264e-05
82,79.5345,3.44571,4.82099,4.00685,0,0,0,0,2.80639,4.81062,4.16703,8.44025e-05,8.44025e-05,8.44025e-05
83,80.7879,3.76972,4.80294,4.05794,0,0,0,0,2.80639,4.81062,4.16703,8.11744e-05,8.11744e-05,8.11744e-05
84,81.7918,4.72153,4.16709,3.71588,0,0,0,0,2.80867,4.81318,4.16737,7.78422e-05,7.78422e-05,7.78422e-05
85,82.8077,4.2177,4.38696,3.64249,0,0,0,0,2.80867,4.81318,4.16737,7.44059e-05,7.44059e-05,7.44059e-05
86,83.7507,3.78129,4.22306,3.96665,0,0,0,0,2.80867,4.81318,4.16737,7.08654e-05,7.08654e-05,7.08654e-05
87,84.6577,3.81993,4.51028,3.85753,0,0,0,0,2.80867,4.81318,4.16737,6.72207e-05,6.72207e-05,6.72207e-05
88,85.5455,4.49811,4.32271,3.73933,0,0,0,0,2.81112,4.80973,4.16831,6.34719e-05,6.34719e-05,6.34719e-05
89,86.3532,3.77,4.43129,3.88591,0,0,0,0,2.81112,4.80973,4.16831,5.96189e-05,5.96189e-05,5.96189e-05
90,87.3448,4.32254,4.72802,3.95001,0,0,0,0,2.81112,4.80973,4.16831,5.56618e-05,5.56618e-05,5.56618e-05
91,98.1829,3.69211,4.29818,3.68173,0,0,0,0,2.81112,4.80973,4.16831,5.16006e-05,5.16006e-05,5.16006e-05
92,99.5193,3.90951,4.30504,3.72878,0,0,0,0,2.81196,4.811,4.16885,4.74352e-05,4.74352e-05,4.74352e-05
93,100.863,3.86158,4.19781,3.63713,0,0,0,0,2.81196,4.811,4.16885,4.31657e-05,4.31657e-05,4.31657e-05
94,102.063,4.00677,4.35992,3.76553,0,0,0,0,2.81196,4.811,4.16885,3.8792e-05,3.8792e-05,3.8792e-05
95,103.169,3.89596,4.14489,3.62081,0,0,0,0,2.81196,4.811,4.16885,3.43141e-05,3.43141e-05,3.43141e-05
96,104.049,4.10746,4.11801,3.67964,0,0,0,0,2.81367,4.80964,4.16921,2.97322e-05,2.97322e-05,2.97322e-05
97,104.902,3.86399,4.46636,3.7841,0,0,0,0,2.81367,4.80964,4.16921,2.5046e-05,2.5046e-05,2.5046e-05
98,105.683,3.86999,4.1518,3.80568,0,0,0,0,2.81367,4.80964,4.16921,2.02557e-05,2.02557e-05,2.02557e-05
99,106.587,4.09737,4.31687,3.82945,0,0,0,0,2.81367,4.80964,4.16921,1.53613e-05,1.53613e-05,1.53613e-05
100,107.638,4.1889,4.5989,3.90802,0,0,0,0,2.81505,4.81002,4.16936,1.03627e-05,1.03627e-05,1.03627e-05
